country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Romania,10.9,7.4,5.3,4.6,4.8,3.6,2.9,2.8,3.1,2.9,2.5,2.2,2.1,2,0.4,0.4,0.3
Russia,,,,,,,,,,,1.5,1.4,1.4,1.2,1.1,1.1,1
Rwanda,235,224,200,188,172,109,10.1,8.8,4.7,30.2,30.8,59.8,55,48.5,44.6,24.7,0
Saudi Arabia,70.7,64.9,72,70.4,30.2,18,7.9,10.2,8.8,7,6.9,5.6,5.7,6,6.8,6.6,5.4
Sudan,,102,89.5,58.6,57.3,50.8,37.6,48.7,44.2,27.8,28.1,25.1,14.8,30.5,27.8,20.9,17.8
Senegal,122,113,109,113,107,72.7,63.7,63.1,68,64.4,64.3,63.8,63.4,62.7,33.8,32,22.6
Singapore,1,1,0.9,0.8,0.8,0.9,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.4,0.4
Solomon Islands,146,122,136,117,102,93.5,70.1,78.5,54.5,47.9,47.5,35.5,31.4,28.5,28.9,28.1,27.4
Sierra Leone,1540,1490,983,1310,1180,146,119,111,93.3,80.4,44.1,37.9,44.2,8.6,10.3,8.4,7.6
El Salvador,129,130,120,79.3,74.7,55.6,43.6,45.2,45.6,45.7,45.4,44.7,43.4,41.4,41.4,45.1,43.3
San Marino,,,,,,,,,,8.2,8.7,9,9,8.8,9.1,9,8.8
Somalia,,,,,,,,,,,,,180,177,204,195,198
Serbia,15.9,15,12,10.2,8.9,7.6,7.1,7.9,7.8,7.7,7.2,6.8,6.6,6.5,2.3,2.2,2.3
South Sudan,,,,,,,,,,192,372,242,330,422,305,123,77.4
Sao Tome and Principe,,308,277,276,133,116,98.2,88.8,23.1,19.7,19.4,17.5,16.7,15.2,13.2,12.3,12.4
Suriname,,,161,150,138,120,117,115,109,105,102,100,101,96.5,94,93.4,93.5
Slovak Republic,9.4,5.7,5,4.8,4.2,3.3,2,1.9,1.8,1.8,1.5,1.5,1.5,1.1,1.1,1,1
Slovenia,14.8,13.5,12,9.4,8.5,0.1,0,0,0,0,0,0,0,0,0,0,0
Sweden,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5
Eswatini,,,43.2,41.1,38.7,35.1,33.9,33,29.2,24.1,27.7,23.3,23.4,16.6,16.4,18.3,10.7
Seychelles,,,31.7,32.2,29.7,26.8,19.2,16.8,15.4,13.8,16,15.2,14.2,13.4,13.2,13.4,12.5
Syria,34.5,34.2,34.5,21.1,55.7,18.2,27.8,38.1,17.1,15.6,12.5,14.4,8.5,8.9,7.9,7.6,8.1
Chad,480,483,478,242,273,253,246,227,209,202,186,151,150,160,171,172,169
Togo,237,229,218,253,246,251,205,178,177,142,121,94.9,77.8,71.2,66,41.7,8.1
